Tugas,Keterangan,Tanggal,Aktivitas,Durasi
Audit tabel bayangan & guard database,41 dari 57 tabel non-wp_ ternyata menduplikasi data KiviCare. Penyebabnya prisma db push yang pernah dijalankan ke database WordPress.,2026-07-10,Menelusuri seluruh model di schema.prisma dan mencocokkannya dengan tabel wp_kc_* di database; memeriksa keberadaan _prisma_migrations untuk memastikan penyebabnya; menulis dokumen audit berisi inventaris tabel; membuat script guard-db.mjs dan memasangnya sebagai hook agar perintah pengubah skema ditolak.,2
Repository baca data KiviCare,"Lapisan pembacaan untuk pasien, dokter, klinik, layanan, appointment, jadwal praktik, hari libur, dan data statis.",2026-07-13,Membaca file migrasi plugin KiviCare untuk mendapatkan struktur kolom yang sebenarnya; menulis repository per tabel dengan query SQL langsung; men-decode blob JSON basic_data dan capability WordPress; menulis tes kontrak terhadap database tes; menelusuri kegagalan pencarian jadwal sampai ketemu penyebabnya di binding kolom TIME MySQL.,2.5
Endpoint tulis pada plugin WordPress,"Route REST untuk pasien, appointment, dokter, dan resepsionis, supaya hook KiviCare tetap berjalan.",2026-07-14,Menelusuri kode plugin untuk mendata hook yang terdaftar beserta listener-nya; menulis controller PHP baru di praktiqu-endpoint; menyamakan urutan pemanggilan hook dengan controller asli KiviCare; menjalankan php -l untuk lint; menguji route lewat curl dengan service token.,1.5
Infrastruktur & pemulihan test suite,"Skema KiviCare tersedia di database tes, dan 62 tes yang selama ini dilaporkan SKIPPED kembali berjalan.",2026-07-15,"Menulis script yang mengekstrak DDL dari migrasi plugin lalu menerapkannya ke database tes; menelusuri kenapa suite billing selalu skip sampai ketemu cleanup() menghapus lewat kolom yang tidak ada di tabel; memperbaiki kolomnya; menjalankan ulang seluruh suite untuk memastikan tesnya benar-benar jalan, bukan sekadar hijau.",1.5
Migrasi domain Client,client.service.ts membaca wp_users. Bug awal terkonfirmasi: endpoint membaca tabel 0 baris padahal ada 752 pasien nyata.,2026-07-16,Memetakan tiap field DTO klien ke kolom wp_users dan meta-nya; mengganti seluruh pemanggilan Prisma dengan repository; memindahkan status siklus hidup klien ke wp_usermeta; menulis ulang tes yang sebelumnya mem-stub tabel bayangan; memverifikasi jumlah klien yang terbaca.,1.5
Migrasi domain Professional,professional.service.ts beserta availability dan penugasan layanan berjalan di atas tabel KiviCare.,2026-07-17,Menambahkan field profesional ke repository dokter; memindahkan jadwal ke wp_kc_clinic_sessions dan hari libur ke wp_kc_clinic_schedule; memulihkan pembatasan akses per klinik yang sempat hilang saat penulisan ulang; menyesuaikan route dan tesnya.,1.5
Migrasi domain Session & Practice,Sesi berjalan di wp_kc_appointments dengan status 5 nilai mengikuti KiviCare; praktik di wp_kc_clinics.,2026-07-20,Memetakan status sesi kita ke lima status KiviCare dan menentukan dua status yang dihapus dilebur ke mana; menulis pemeriksaan bentrok jadwal dengan SQL mentah agar perbandingan TIME benar; memindahkan timezone dan logo ke blob extra; menulis tes integrasi yang menyentuh database.,2
Migrasi domain Public,"Booking tamu, katalog, direktori profesional, dan lookup slot berjalan di atas tabel KiviCare.",2026-07-21,Menulis ulang jalur booking agar pasien dibuat lewat plugin dan appointment lewat plugin; menghapus jembatan Professional-Doctor yang tidak diperlukan lagi; menyatukan perhitungan slot dengan yang dipakai API terautentikasi agar booking nyata dan hari libur ikut dikurangi; menambahkan penjagaan id non-numerik pada route.,2
Migrasi Payments & perbaikan transaksi MyISAM,"Pembayaran diselesaikan terhadap tabel KiviCare; kegagalan di tengah proses kini bisa diulang, tidak lagi permanen.",2026-07-22,"Memindahkan pembacaan appointment ke repository dan konfirmasi ke plugin; memeriksa engine tabel wp_kc_* dan menemukan seluruhnya MyISAM sehingga transaksi tidak berfungsi; membalik urutan penulisan agar penanda lunas ditulis terakhir; menulis tes yang memastikan urutan itu, lalu sengaja mengembalikan urutan lama untuk membuktikan tesnya benar-benar menangkap bug.",2
Migrasi domain leaf & Custom Fields,"session-notes, progress, consent, dan custom fields. Yang terakhir mengulang pola bug 752 klien: tabel kita 0 baris, KiviCare 169 baris.",2026-07-23,Memindahkan referensi id di ketiga domain leaf ke id WordPress; membaca controller KiviCare untuk mengetahui bentuk JSON definisi custom field; menambahkan model Prisma yang memetakan ke tabel wp_kc_ yang sudah ada; menulis repository dan tes DB; membandingkan jumlah baris tabel kita dengan tabel KiviCare di staging.,2
